Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Austria,AUT,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,489.927.434.171.365,370.296.968.632.712,303.518.927.524.375,458.903.167.117.751,86.007.761.174.308,137.074.340.827.577,246.729.463.920.836,331.808.883.613.744,227.142.229.681.161,128.210.678.218.568,124.500.915.546.993,898.522.081.356.751,57.741.683.288.191,616.657.281.334.254,648.898.448.570.581,830.768.243.153.386,670.792.852.389.328,958.318.148.120.244,866.650.692.105.431,752.998.997.790.185,914.000.534.131.726
Azerbaijan,AZE,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Burundi,BDI,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,162.945.095.249.588,159.562.051.334.832,147.717.309.040.888,130.014.968.738.352,203.418.735.680.943,276.169.673.631.704,331.292.614.311.918,491.736.727.392.013,368.654.601.312.627,25.501.842.999.107,223.127.130.156.492,197.294.919.324.986,203.415.991.488.978,220.982.820.000.078,200.317.002.391.446,,,,,,
Benin,BEN,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,175.292.060.733.682,483.596.522.240.567,,,381.055.977.917.734,296.012.799.652.332,329.285.738.371.988,889.113.442.586.455,159.518.673.981.862,228.272.901.837.917,419.641.630.239.385,172.922.256.153.056,108.214.249.906.229,823.998.159.437.013,914.445.465.664.375,697.784.985.540.496,577.629.639.970.259,902.216.498.675.104,502.276.531.564.797,373.731.064.207.678,399.039.110.860.577
Bulgaria,BGR,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,310.282.577.205.663,495.648.311.408.219,994.327.647.314.639,54.958.717.674.524,175.148.891.592.135,26.163.886.211.384,543.406.180.077.082,152.686.038.353.439,241.342.356.801.121,936.282.764.927.797,74.328.818.320.579,55.748.859.844.294,666.787.543.799.054,157.509.515.232.032,,,,,,247.301.154.454.972,301.955.735.228.469
Bahrain,BHR,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,270.818.423.253.562,213.342.024.562.599,224.109.826.012.708,240.843.777.691.859,236.985.717.348.305,439.790.947.730.271,746.359.289.372.056,480.773.124.712.379,810.403.235.650.078,203.276.469.981.228,111.833.300.752.261,542.558.964.879.852,905.386.213.493.817,185.805.126.997.983,214.989.270.164.046,94.696.926.091.902,103.277.300.106.935,158.708.514.359.543,256.571.926.580.314,196.549.749.837.061,171.270.664.119.989
"Bahamas, The",BHS,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,317.968.712.257.536,149.499.879.360.842,385.134.807.914.424,401.825.029.787.798,236.543.805.864.399,232.416.920.256.509,985.795.496.289.766
Belize,BLZ,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Bermuda,BMU,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,390.780.005.511.147,578.728.389.724.936,233.666.935.214.318,121.150.596.258.233,142.640.437.950.964,140.402.815.369.168,255.533.854.166.667,23.927.885.325.846,146.131.805.157.593,465.594.951.923.077,157.524.441.082.905,296.703.893.791.095,458.750.980.686.051,682.054.813.079.863,369.037.173.128.481,230.068.460.018.505,314.453.331.354.564,548.001.516.594.897,680.184.838.673.026,306.460.662.237.917,
Bolivia,BOL,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Brazil,BRA,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,143.491.555.376.281,115.140.761.294.883,772.362.794.683.703,126.253.121.138.389,169.855.317.081.941,191.693.052.578.647,252.320.359.480.638,461.979.928.451.152,336.032.419.243.957,424.636.102.917.513,411.135.581.402.293,315.316.165.659.387,337.347.641.218.637,299.123.470.678.537,262.280.081.853.943,233.034.609.748.222,31.245.918.765.152,311.363.240.408.039,401.263.802.261.732,554.493.047.430.641,930.552.899.108.605
Barbados,BRB,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,157.215.231.246.936,337.207.398.919.627,,,,,,,,,741.733.594.326.427,251.583.429.239.944,34.706.435.614.356,136.832.590.221.905,185.250.470.400.451,,,,,259.003.615.532.704,133.995.462.134.509
Brunei Darussalam,BRN,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Botswana,BWA,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,843.863.833.692.113,603.481.911.160.271,589.577.456.912.909,565.634.057.933.025,688.127.863.360.994,794.563.897.128.041,937.751.701.558.359,118.802.581.360.749,967.701.047.198.619,969.607.894.635.386,868.612.403.674.964,821.866.694.667.089,737.255.136.551.287,716.767.723.353.985,744.172.189.096.838,704.187.935.577.419,75.482.371.926.819,776.193.571.040.358,796.184.153.670.834,821.554.373.025.011,61.332.260.858.454
Central Europe and the Baltics,CEB,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,787.808.002.447.475,403.770.514.950.169,360.048.541.225.787,444.556.610.914.154,719.564.597.495.706,104.055.789.854.103,128.114.122.116.959,163.936.409.957.758,834.159.477.982.653,955.651.549.511.283,986.255.954.701.523,841.467.838.127.047,728.313.370.048.808,753.252.045.946.925,60.370.899.982.133,716.415.706.514.307,633.274.761.546.975,830.281.640.390.123,610.873.258.487.038,516.495.395.156.708,744.331.184.497.758
Switzerland,CHE,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,227.105.180.456.829,204.687.812.728.732,158.668.753.508.294,123.912.237.036.991,10.857.208.083.736,135.427.631.041.167,184.021.554.128.045,256.597.224.953.707,249.045.432.713.045,139.052.825.722.865,1.461.746.256.992,115.647.469.086.647,862.427.215.003.001,990.583.717.939.921,101.035.026.887.204,137.616.231.463.725,121.710.067.022.521,13.641.196.379.986,12.932.671.257.816,133.870.934.167.074,176.737.219.725.458
Channel Islands,CHI,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,535.117.810.150.376,959.424.018.475.751,705.167.071.524.966,115.517.145.401.915,146.370.376.712.329,311.534.500.514.933,806.103.822.019.395,868.462.206.776.716,,,,,,,,,,,,,
Chile,CHL,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,736.571.060.005.944,569.249.934.606.231,378.660.103.230.442,988.482.831.094.742,132.031.224.837.184,167.196.145.581.044,180.786.275.563.763,261.712.481.924.989,160.702.466.203.277,216.051.798.846.551,266.807.324.347.173,204.066.709.863.098,174.012.308.379.791,148.705.339.203.391,104.588.769.065.351,811.333.663.232.277,961.623.253.689.006,137.832.503.904.993,147.476.126.502.646,131.896.059.715.421,156.348.757.223.063
China,CHN,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,621.285.767.602.934,345.512.325.426.416,229.986.372.398.788,233.696.543.522.329,261.588.342.222.631,171.641.886.416.003,42.112.689.270.384,177.601.867.047.211,849.972.002.949.932,153.493.743.713.007,135.657.668.078.578,883.790.629.016.484,589.204.148.433.202,804.138.203.851.572,114.163.397.291.003,35.551.920.039.721,162.864.305.225.218,139.907.740.309.583,940.678.608.400.384,127.785.325.214.212,215.013.666.718.156
Cote d'Ivoire,CIV,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,199.004.268.160.649,511.583.894.098.567,968.739.816.636.427,114.390.556.266.652,21.339.332.863.335,145.442.934.713.071,423.394.051.844.471,57.148.637.128.028,856.440.936.420.573,710.010.700.626.243,649.782.456.210.983,317.711.121.027.856,479.859.365.254.283,859.139.328.245.787,816.862.097.027.734,113.903.730.460.503,,,,251.742.615.923.024,268.486.134.179.634
Cameroon,CMR,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",COD,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",COG,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Colombia,COL,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,118.047.470.879.629,798.365.459.233.446,105.262.284.382.902,851.392.321.503.974,17.760.330.339.678,655.816.305.174.726,965.257.083.658.138,836.329.764.938.881,743.659.024.591.127,85.386.216.924.414,792.226.392.072.106,774.595.915.806.038,868.726.987.427.991,534.141.236.981.738,451.578.033.904.703,394.781.301.843.232,50.112.589.169.771,444.592.999.731.433,408.811.735.511.253,430.448.774.776.057,370.167.113.952.471
Comoros,COM,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRI,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,665.247.760.665.606,201.927.989.462.715,10.927.793.370.474,272.192.512.778.789,266.657.240.288.868,176.808.165.285.446,101.932.905.727.061,10.980.223.307.736,861.266.344.788.903,711.387.303.528.477,129.735.877.475.308,233.887.733.730.179,918.820.607.858.652,611.075.977.231.283,914.963.962.772.109,740.626.046.505.084,568.167.083.413.959,485.290.545.748.391
Caribbean small states,CSS,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,376.164.656.776.716,129.862.045.315.429,305.280.326.789.998,44.374.746.322.377,240.567.286.696.908,606.773.915.028.576,591.935.992.736.153,,,106.198.436.225.582,,,177.209.469.855.908,595.769.371.054.723,230.201.560.271.906
Cyprus,CYP,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,95.548.253.460.766,302.830.464.090.443,584.927.031.885.141,213.303.820.046.697,152.824.224.284.993,256.490.778.155.572,156.754.520.526.164,186.271.598.923.204,644.431.459.176.154,678.841.165.799.478,287.791.362.316.106,162.508.965.886.709,117.620.835.168.468,172.038.817.646.714,243.736.390.427.841,657.482.701.015.494,352.701.761.205.664,301.251.661.120.028,217.846.589.544.711,215.916.672.200.712,155.828.475.880.121
Czechia,CZE,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,107.564.770.564.602,508.504.104.204.938,720.502.840.913.713,876.046.461.955.082,150.314.818.562.052,2.503.966.361.446,184.165.970.118.364,198.694.566.808.126,136.310.767.666.124,12.841.174.487.649,105.596.241.613.175,897.706.683.261.443,839.566.766.171.539,579.585.906.566.016,514.762.132.843.784,,,,,,171.924.284.492.684
Germany,DEU,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,938.015.283.730.085,668.648.270.814.531,419.419.669.798.281,406.645.385.437.332,419.740.809.022.364,452.451.650.115.172,651.429.467.886.116,950.156.830.807.661,111.864.987.228.541,524.086.045.761.927,43.964.790.360.017,419.704.483.020.524,354.378.984.095.203,351.548.070.453.693,326.314.331.735.013,430.253.524.630.488,323.965.210.294.265,422.287.390.899.147,406.635.515.525.073,347.286.805.737.357,466.386.455.719.206
Djibouti,DJI,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,547.703.410.541.543,400.665.215.445.448,181.979.559.104.593,201.182.991.176.167,27.126.849.734.509,,,,,,,,,,,,,,,,
Dominican Republic,DOM,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (excluding high income),EAP,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,502.737.545.565.701,293.891.940.599.112,211.069.851.677.412,246.193.818.376.259,271.294.033.332.957,185.636.717.471.726,377.948.017.832.234,145.335.050.541.092,708.183.749.745.592,127.307.379.013.994,112.093.886.285.335,751.095.713.850.919,529.291.360.218.179,711.814.576.860.478,992.854.574.986.951,30.203.542.586.732,140.036.108.042.097,121.288.901.160.761,837.148.581.382.781,111.066.552.122.928,188.118.752.023.861
Early-demographic dividend,EAR,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,325.291.073.578.292,162.987.363.743.625,149.504.156.941.684,22.505.532.903.243,37.659.087.973.166,532.353.947.087.965,591.383.093.365.031,508.961.751.794.725,389.636.795.055.852,381.532.377.033,321.990.797.884.067,23.464.272.007.219,239.650.174.666.297,222.661.990.834.896,258.200.757.764.115,253.448.955.512.239,24.585.854.211.307,272.892.336.373.073,26.881.487.449.051,258.637.779.000.445,482.868.550.651.001
East Asia & Pacific,EAS,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,655.546.643.961.281,47.819.627.518.709,507.205.908.936.664,556.667.466.650.542,686.296.574.646.864,770.572.146.292.868,100.262.067.978.454,166.701.477.958.276,107.470.525.269.909,119.463.645.077.076,110.633.798.449.217,885.944.553.611.407,647.962.056.098.615,888.563.532.292.738,100.158.605.404.366,234.184.852.399.645,127.554.760.094.843,123.412.215.412.623,102.839.809.955.971,111.301.099.390.772,189.493.674.148.936
Europe & Central Asia (excluding high income),ECA,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,175.615.192.488.502,180.079.954.550.621,21.841.118.277.134,243.914.526.628.944,252.788.440.828.853,480.896.333.744.706,74.457.693.399.965,516.665.003.012.735,39.749.129.564.306,340.122.566.004.078,273.304.182.645.262,195.926.081.501.365,163.844.226.980.537,154.635.493.384.384,183.500.543.055.219,174.098.554.822.718,189.259.477.036.951,184.699.067.621.976,181.004.953.911.232,455.366.101.630.704
Europe & Central Asia,ECS,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,101.349.053.739.685,817.879.346.833.451,511.779.628.145.507,483.177.142.249.579,496.014.488.673.014,499.141.134.810.237,71.203.510.910.352,102.866.646.148.239,789.829.708.398.167,568.919.782.167.157,56.443.561.613.271,493.466.704.578.506,409.934.158.429.029,368.166.315.665.267,454.570.271.239.583,,,,,,
Ecuador,ECU,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,998.485.091.738.174,196.171.997.722.443,462.363.845.669.253,,,,,,,,,,,,,,,,,,
"Egypt, Arab Rep.",EGY,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,450.205.079.326.534,47.162.599.046.724,588.550.240.089.336,393.208.815.678.373,169.946.008.619.261,673.654.478.156.225,612.410.222.726.458,441.525.798.215.438,865.228.312.676.056,44.813.593.845.902,303.215.989.872.602,58.095.731.434.164,551.342.032.862.098,350.341.455.325.232,418.976.875.467.282
Euro area,EMU,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,101.239.202.088.611,781.383.443.171.409,514.935.033.713.506,482.093.831.515.562,518.808.046.920.627,529.591.106.843.217,730.613.134.252.137,102.446.631.100.703,809.839.639.352.816,484.923.708.043.698,463.260.988.500.575,422.490.123.111.059,371.570.856.823.301,374.331.858.532.818,471.839.347.730.563,478.039.074.486.267,,,,,
Eritrea,ERI,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Spain,ESP,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,264.647.491.630.265,237.390.890.874.616,639.920.489.868.323,681.350.540.705.124,805.330.713.743.737,850.675.955.616.419,118.891.238.913.716,154.572.036.113.955,105.837.291.343.548,856.876.051.644.216,966.362.081.457.194,761.521.103.056.152,652.487.456.494.587,674.961.103.911.955,722.923.620.553.444,81.794.986.234.397,523.928.821.401.166,55.918.721.590.997,438.692.933.781.125,3.587.296.891.843,383.232.028.233.916
Estonia,EST,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,584.006.581.713.627,412.972.778.714.508,312.976.051.379.468,623.049.608.973.762,740.331.409.213.785,,,,,,,,,,,,,,,,
Ethiopia,ETH,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
European Union,EUU,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,978.250.997.029.646,753.930.598.840.484,487.592.460.465.273,457.177.541.548.797,499.269.850.765.541,502.222.522.627.922,689.437.086.265.711,960.062.754.174.287,749.437.348.611.926,455.438.106.252.507,4.344.097.956.105,395.052.250.875.247,347.272.153.591.815,350.127.706.491.087,439.330.202.393.635,,,,,,
Fragile and conflict affected situations,FCS,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Finland,FIN,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,167.164.571.695.878,138.200.367.238.219,102.406.525.969.313,829.138.780.583.552,955.842.675.047.881,,,,,,,,,,,,,,,,
Fiji,FJI,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
France,FRA,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,791.058.879.597.386,711.997.353.786.511,687.717.202.057.532,597.991.414.880.186,624.511.468.054.731,578.737.740.580.958,868.582.559.278.802,10.883.905.275.277,821.067.230.551.794,475.439.881.618.846,510.426.801.486.616,464.182.716.135.858,400.375.777.412.248,393.159.799.666.604,409.185.073.788.118,544.592.610.220.473,,,,,
Faroe Islands,FRO,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
United Kingdom,GBR,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,110.043.815.416.852,114.870.102.393.818,586.619.922.293.075,605.680.668.985.433,669.105.810.907.195,679.775.770.199.579,101.967.448.114.688,127.633.518.510.237,933.103.022.072.464,116.127.970.727.614,128.970.226.835.931,113.822.478.981.571,91.280.959.424.356,60.117.139.325.521,768.954.423.548.566,,,,,,
Georgia,GEO,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Ghana,GHA,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,139.679.125.828.068,235.189.121.098.704,162.174.508.680.195,576.334.466.341.029,820.589.560.548.458,474.658.688.572.374,247.066.774.497.933,58.564.483.930.565,100.002.150.530.651,198.858.092.448.633,316.172.162.036.833,645.962.183.374.605,123.571.331.864.735,307.045.187.321.719,,,,,,,466.284.360.583.185
Gibraltar,GIB,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
"Gambia, The",GMB,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,GNB,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,GNQ,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Greece,GRC,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,70.229.476.857.361,272.397.124.045.122,132.300.749.626.649,167.403.847.032.217,16.555.345.393.221,198.332.329.856.641,316.382.361.737.948,38.106.811.460.783,229.838.220.921.504,179.026.888.699.376,136.787.497.524.013,811.989.028.431.631,622.960.920.666.075,100.502.373.928.864,140.366.270.476.246,916.931.551.407.011,632.882.252.968.156,761.188.854.362.944,560.500.588.596.879,751.548.979.121.581,872.446.373.420.922
Grenada,GRD,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Greenland,GRL,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Guam,GUM,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
High income,HIC,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,163.990.633.999.227,12.002.214.545.523,939.274.683.576.739,857.926.765.968.765,953.550.644.859.383,117.365.252.517.368,139.827.739.049.388,184.069.463.867.505,169.593.795.904.494,131.212.707.404.495,131.111.349.236.883,131.934.687.187.981,104.752.228.712.798,110.342.437.811.963,121.682.972.997.387,147.153.730.477.706,145.373.513.233.375,139.840.840.110.372,119.234.862.728.576,891.709.513.028.164,
"Hong Kong SAR, China",HKG,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,217.276.433.398.555,140.605.209.649.114,107.567.707.862.274,169.067.134.646.832,238.751.307.991.426,231.974.563.328.317,390.391.171.309.406,952.669.358.528.153,715.168.648.710.063,660.259.390.034.172,650.630.776.699.307,578.219.464.764.298,409.980.647.070.483,459.564.370.390.566,497.816.627.458.567,668.638.239.426.381,42.108.578.834.166,57.230.720.303.076,626.644.860.018.611,501.891.547.401.128,889.815.804.038.354
Honduras,HND,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Heavily indebted poor countries (HIPC),HPC,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
