Year,ISO Code,Countries,Rank,Quartile,EFW,GovSize,PIB/capita,LegalSystem,SoundMoney,TradeFreedom,Regulation,Return,Risk,FDI,Unemployment,CPI,STT,PoliticalStab,MCC,LDC
2009,BRA,Brazil,93,3,6.51,7.26,"8.569,90",5.78,7.77,6.97,4.78,0.66,0.21,1.9,9.42,37,52.9,0.16,80.2,377
2010,BRA,Brazil,90,3,6.68,7.47,"11.249,29",5.85,7.79,7.04,5.25,0.02,0.17,3.7,8.034,37,58.8,0.01,70,373
2011,BRA,Brazil,94,3,6.66,7.48,"13.200,56",5.97,7.78,6.96,5.12,-0.05,0.19,3.9,7.58,37,67.1,-0.13,47,366
2012,BRA,Brazil,94,3,6.66,7.33,"12.327,52",5.91,7.92,6.94,5.18,-0.05,0.19,3.8,7.25,43,67.8,0.05,49.8,353
2013,BRA,Brazil,103,3,6.52,6.99,"12.258,56",5.65,7.94,6.90,5.13,-0.20,0.15,3,07.07,42,72.5,-0.26,41.3,352
2014,BRA,Brazil,109,3,6.43,6.90,"12.071,40",5.58,7.94,6.75,4.97,-0.02,0.21,3.6,6.76,43,76.3,-0.07,34.4,351
2015,BRA,Brazil,118,3,6.25,6.80,"8.783,21",5.50,7.82,6.61,4.50,-0.14,0.20,3.6,8.56,38,85.6,-0.33,27.2,345
2016,BRA,Brazil,112,3,6.44,6.69,"8.680,74",5.48,9.04,6.73,4.28,0.60,0.26,4.1,11.74,40,73.6,-0.38,42.2,338
2017,BRA,Brazil,100,3,6.65,6.76,"9.896,72",5.37,9.27,6.96,4.88,0.31,0.16,3.3,12.93,37,67,-0.47,46.3,335
2018,BRA,Brazil,104,3,6.58,6.74,"9.121,02",5.19,9.27,6.96,4.76,0.15,0.22,4.1,12.46,35,83.9,-0.44,47.8,334
2019,BRA,Brazil,106,3,6.60,6.83,"8.845,32",5.11,9.26,6.99,4.81,0.17,0.12,3.7,12.05,35,87.5,-0.71,63.4,324
2020,BRA,Brazil,114,3,6.33,6.61,"6.923,70",5.16,9.25,6.17,4.46,0.02,0.39,2.6,13.93,38,,-0.43,67,345
2000,CHL,Chile,30,1,7.45,7.34,"5.097,11",6.23,9.11,7.18,7.39,-0.01,0.12,6.2,10.49,74,9.5,0.49,77.2,260
2001,CHL,Chile,27,1,7.56,7.33,"4.606,89",6.31,8.66,8.68,6.82,0.01,0.20,5.9,10.39,75,7.2,0.49,78.7,249
2002,CHL,Chile,27,1,7.68,7.32,"4.479,18",6.37,8.77,8.77,7.15,-0.13,0.12,3.6,10.17,75,5.3,01.09,70.9,245
2003,CHL,Chile,21,1,7.81,7.47,"4.824,22",6.36,8.93,8.89,7.39,0.41,0.18,5.3,9.77,74,8.7,0.76,113.1,239
2004,CHL,Chile,20,1,7.83,7.57,"6.185,51",6.27,9.16,8.77,7.39,0.28,0.14,6.9,10.16,74,11.2,0.69,118,239
2005,CHL,Chile,15,1,7.98,7.59,"7.561,83",6.62,9.57,8.59,7.52,0.17,0.13,6.1,9.34,73,15,0.84,111.6,245
2006,CHL,Chile,12,1,7.99,7.65,"9.418,06",6.77,9.33,8.72,7.46,0.37,0.11,4.9,09.02,73,15.9,0.61,113.4,244
2007,CHL,Chile,11,1,8.04,8.00,"10.461,37",6.89,9.11,8.80,7.42,-0.04,0.19,7.8,8.43,70,21.2,0.41,123.4,238
2008,CHL,Chile,11,1,7.98,7.95,"10.783,17",6.95,8.85,8.81,7.34,-0.09,0.16,10.3,9.29,69,21.9,0.43,73.4,235
2009,CHL,Chile,10,1,7.94,7.87,"10.182,86",6.95,9.33,8.37,7.15,0.49,0.19,8.1,11.31,67,16.1,0.6,134.6,232
2010,CHL,Chile,10,1,8.01,7.97,"12.767,78",6.88,9.31,8.28,7.61,0.23,0.13,7.4,8.41,72,16.9,0.68,257.4,227
2011,CHL,Chile,10,1,8.02,8.04,"14.628,57",6.85,9.24,8.16,7.79,-0.09,0.19,10.2,7.32,72,19,0.45,107.6,229
2012,CHL,Chile,14,1,7.91,8.05,"15.406,49",6.86,9.14,7.98,7.50,0.07,0.12,11.9,6.64,72,14.8,0.33,117.3,225
2013,CHL,Chile,16,1,7.88,8.10,"15.833,28",6.83,9.05,7.97,7.44,-0.24,0.14,7.6,6.2,71,15.5,0.36,95.6,227
2014,CHL,Chile,22,1,7.91,8.04,"14.666,34",6.85,8.89,8.43,7.32,0.12,0.13,9.8,6.65,73,11.6,0.45,89.9,230
2015,CHL,Chile,21,1,7.92,8.01,"13.569,95",6.78,9.39,8.18,7.23,-0.03,0.09,7.3,6.49,70,10.3,0.43,78.5,223
2016,CHL,Chile,23,1,7.92,7.95,"13.785,69",6.75,9.45,8.22,7.22,0.13,0.10,4.6,6.73,66,11.3,0.41,85.2,214
2017,CHL,Chile,21,1,7.95,8.06,"15.045,53",6.70,9.66,8.25,7.10,0.39,0.18,1.9,6.95,67,12.9,0.42,106.6,212
2018,CHL,Chile,19,1,7.95,8.05,"15.795,71",6.68,9.73,8.17,7.14,-0.08,0.12,2.7,7.21,67,17.4,0.43,84.9,205
2019,CHL,Chile,29,1,7.86,7.82,"14.627,15",6.62,9.69,8.16,7.03,-0.15,0.12,4.9,7.27,67,18.6,0.01,73.2,203
2020,CHL,Chile,33,1,7.56,7.68,"13.165,39",6.68,9.38,7.37,6.67,-0.06,0.30,4.5,11.14,67,21.5,0.07,72.6,194
2000,CHN,China,107,4,5.51,3.59,"959,36",4.61,8.24,6.12,4.98,0.35,0.14,3.5,3.26,31,,-0.21,,1086
2001,CHN,China,105,4,5.58,3.60,"1.053,11",4.83,8.37,6.44,4.65,-0.28,0.19,3.5,3.8,35,,-0.21,,1154
2002,CHN,China,100,4,5.75,4.51,"1.148,51",4.83,8.34,6.24,4.81,0.01,0.25,3.6,4.24,35,,-0.33,,1223
2003,CHN,China,100,4,5.79,4.53,"1.288,64",4.96,8.29,6.22,4.96,0.06,0.16,3.5,4.58,34,75.6,-0.57,30.9,1285
2004,CHN,China,111,4,5.63,4.38,"1.508,67",4.87,8.08,6.23,4.61,-0.25,0.18,3.5,4.49,34,114.2,-0.39,22.9,1373
2005,CHN,China,116,4,5.81,4.47,"1.753,41",5.02,8.17,6.22,5.20,0.06,0.21,4.6,4.52,32,97.6,-0.5,17.6,1377
2006,CHN,China,116,4,5.88,4.41,"2.099,22",5.18,8.12,6.24,5.43,1.21,0.27,4.5,4.43,33,101.2,-0.54,41.6,1421
2007,CHN,China,110,4,6,4.55,"2.693,96",5.45,8.03,6.29,5.66,0.57,0.40,4.4,4.35,35,140.8,-0.5,126.2,1530
2008,CHN,China,112,4,5.98,4.57,"3.468,33",5.50,7.98,6.30,5.55,-0.55,0.39,3.7,4.59,36,219.5,-0.49,38.7,1604
2009,CHN,China,110,4,6.04,4.47,"3.832,23",5.45,7.99,6.31,5.98,0.50,0.33,2.6,4.72,36,219.2,-0.45,70,1700
2010,CHN,China,122,4,6.02,4.58,"4.550,47",5.39,7.89,6.29,5.95,-0.07,0.22,4,4.53,35,205,-0.66,66.2,2063
2011,CHN,China,126,4,6.04,4.90,"5.614,39",5.28,7.78,6.22,6.04,-0.18,0.14,3.7,4.55,36,295.6,-0.6,45.2,2342
2012,CHN,China,121,4,6.11,4.98,"6.300,58",5.22,7.92,6.30,6.14,0.04,0.21,2.8,4.58,39,136,-0.54,34.3,2494
2013,CHN,China,119,4,6.16,5.01,"7.020,39",5.14,8.07,6.33,6.27,-0.15,0.19,3,4.6,40,194.9,-0.54,41.3,2489
2014,CHN,China,121,4,6.21,5.09,"7.636,07",5.13,8.20,6.38,6.24,0.58,0.22,2.6,4.63,36,199.2,-0.52,57.3,2613
2015,CHN,China,119,3,6.23,5.14,"8.016,45",5.25,8.25,6.29,6.22,-0.15,0.39,2.2,4.65,37,480.3,-0.55,74,2827
2016,CHN,China,119,3,6.25,5.04,"8.094,39",5.20,8.43,6.36,6.23,0.15,0.26,1.6,4.56,40,249.9,-0.5,65.2,3052
2017,CHN,China,119,3,6.26,5.00,"8.817,05",5.17,8.43,6.52,6.16,0.10,0.07,1.3,4.47,41,197.7,-0.23,70.8,3485
2018,CHN,China,117,3,6.33,5.03,"9.905,41",5.17,8.42,6.59,6.42,-0.26,0.15,1.7,4.31,39,206.7,-0.3,45.5,3584
2019,CHN,China,120,3,6.33,5.02,"10.143,86",5.15,8.41,6.71,6.33,0.15,0.17,1.3,4.56,41,214.3,-0.26,56.6,3777
2020,CHN,China,116,3,6.27,4.97,"10.408,72",5.12,8.44,6.56,6.24,15.21,11.89,1.7,5,42,258.6,-0.33,83.2,4154
2000,DEU,Germany,17,1,7.94,5.83,"23.694,76",8.23,9.55,9.44,6.62,-0.01,0.19,12.7,7.92,76,143.8,1.41,65.2,744
2001,DEU,Germany,19,1,7.8,6.04,"23.628,33",8.07,9.56,9.33,6.00,-0.25,0.26,2.9,7.77,74,121.4,1.41,55.1,749
2002,DEU,Germany,18,1,7.86,6.06,"25.197,27",8.08,9.59,9.36,6.21,-0.46,0.34,2.5,8.48,73,127.1,1.1,33,715
2003,DEU,Germany,18,1,7.91,6.16,"30.310,36",8.12,9.59,9.37,6.31,0.48,0.28,2.6,9.78,77,94.3,0.58,43.1,684
2004,DEU,Germany,18,1,7.9,6.41,"34.106,66",8.15,9.54,9.01,6.40,0.05,0.10,-0.7,10.73,82,98.9,0.64,42.4,660
2005,DEU,Germany,20,1,7.81,6.46,"34.520,24",8.21,9.53,8.38,6.49,0.33,0.11,2.1,11.17,82,107.1,0.89,42.2,648
2006,DEU,Germany,20,1,7.78,6.52,"36.353,88",8.21,9.47,8.36,6.36,0.20,0.09,2.9,10.25,80,119.1,01.03,54.7,656
2007,DEU,Germany,26,1,7.74,6.38,"41.640,08",8.16,9.50,8.28,6.39,0.01,0.19,1.5,8.66,78,154.6,1,61.5,761
2008,DEU,Germany,26,1,7.7,6.38,"45.612,71",8.02,9.51,8.19,6.41,-0.37,0.23,0.8,7.52,79,377.2,0.94,29.7,742
2009,DEU,Germany,17,1,7.78,6.16,"41.650,37",8.20,9.53,8.22,6.77,0.29,0.27,1.7,7.74,80,138.3,0.86,37.9,704
2010,DEU,Germany,18,1,7.84,6.19,"41.572,46",8.07,9.59,8.19,7.14,0.26,0.14,2.5,6.97,79,104.5,0.8,42.1,690
2011,DEU,Germany,15,1,7.92,6.22,"46.705,90",8.06,9.56,8.16,7.61,-0.09,0.26,2.6,5.82,80,132.8,0.84,31.6,670
2012,DEU,Germany,16,1,7.89,6.13,"43.855,85",8.06,9.49,8.08,7.71,0.20,0.14,1.9,5.38,79,84.1,0.78,42.1,665
2013,DEU,Germany,15,1,7.92,6.31,"46.298,92",7.99,9.59,7.99,7.72,0.20,0.11,1.8,5.23,78,67.8,0.93,51.9,639
2014,DEU,Germany,16,1,7.96,6.29,"48.023,87",8.01,9.61,8.34,7.56,0.15,0.13,0.5,4.98,79,73,0.93,44.7,595
2015,DEU,Germany,16,1,8.01,6.23,"41.103,26",7.95,9.65,8.21,8.03,-0.08,0.24,1.9,4.62,81,84.2,0.7,51.1,555
2016,DEU,Germany,18,1,8,6.21,"42.136,12",7.88,9.48,8.30,8.14,0.18,0.16,1.9,4.12,81,74.9,0.68,49.5,531
2017,DEU,Germany,19,1,7.97,6.07,"44.652,59",7.85,9.26,8.38,8.29,0.14,0.08,3,3.75,81,63.6,0.59,61.3,450
2018,DEU,Germany,22,1,7.92,6.05,"47.939,28",7.71,9.39,8.32,8.12,-0.15,0.14,4.2,3.38,80,92.1,0.59,44.2,465
2019,DEU,Germany,24,1,7.89,6.00,"46.793,69",7.71,9.41,8.34,7.99,0.16,0.12,1.9,3.14,80,64.4,0.57,54,470
2020,DEU,Germany,25,1,7.65,5.64,"46.772,83",7.75,9.23,7.98,7.66,-0.89,0.88,4.1,3.86,80,79.4,0.68,58.7,438
2000,FRA,France,27,1,7.67,4.69,"22.416,43",7.05,9.59,9.09,7.93,0.06,0.14,3,10.22,67,74.7,0.79,105.9,1185
2001,FRA,France,29,1,7.54,4.93,"22.449,34",6.91,9.63,8.76,7.45,-0.26,0.21,3.6,8.61,67,83.5,0.79,85.3,936
2002,FRA,France,29,1,7.62,5.02,"24.288,27",6.96,9.61,9.13,7.37,-0.34,0.27,3.4,8.7,63,106.8,0.92,64.4,874
2003,FRA,France,29,1,7.61,4.98,"29.627,92",6.98,9.59,9.09,7.38,0.24,0.18,2.3,8.31,69,81.3,0.18,73.5,817
2004,FRA,France,33,1,7.61,4.91,"33.797,16",7.06,9.61,8.92,7.56,0.08,0.06,1.7,8.91,71,84.9,0.35,73.6,787
2005,FRA,France,33,1,7.57,5.12,"34.768,18",7.18,9.58,8.46,7.53,0.26,0.10,3.9,8.49,75,72.3,0.4,80,749
2006,FRA,France,34,1,7.58,5.18,"36.470,21",7.43,9.51,8.41,7.35,0.13,0.09,3.4,8.45,74,83,0.6,104.6,730
2007,FRA,France,22,1,7.79,5.90,"41.557,62",7.71,9.58,8.44,7.30,-0.13,0.15,3.1,7.66,73,105.7,0.56,103,707
2008,FRA,France,21,1,7.74,5.88,"45.515,96",7.57,9.54,8.37,7.34,-0.39,0.21,2.3,07.06,69,163.4,0.54,50.2,673
2009,FRA,France,24,1,7.69,5.58,"41.737,76",7.62,9.66,8.40,7.21,0.26,0.23,0.7,8.74,69,66,0.51,72.1,652
2010,FRA,France,23,1,7.74,5.56,"40.676,06",7.60,9.67,8.32,7.53,0.07,0.18,1.5,8.87,68,70.6,0.68,72.3,617
2011,FRA,France,31,1,7.64,5.45,"43.846,47",7.47,9.63,8.26,7.39,-0.18,0.19,1.5,8.81,70,85.6,0.6,54.2,586
2012,FRA,France,33,1,7.6,5.26,"40.870,85",7.47,9.66,8.22,7.40,0.13,0.13,1.2,9.4,71,59.4,0.55,67.4,562
2013,FRA,France,39,1,7.58,5.29,"42.602,72",7.44,9.75,8.16,7.25,0.12,0.11,1.1,9.92,71,48,0.45,81.8,500
2014,FRA,France,34,1,7.72,5.29,"43.068,55",7.48,9.74,8.67,7.42,0.11,0.13,0.2,10.29,69,56,0.3,73,495
2015,FRA,France,38,1,7.69,5.33,"36.652,92",7.48,9.77,8.44,7.44,-0.04,0.20,1.8,10.35,70,63.6,0.11,85.6,490
2016,FRA,France,46,2,7.6,5.34,"37.062,53",7.38,9.48,8.41,7.41,0.08,0.11,1.3,10.05,69,,-0.1,87..3,485
2017,FRA,France,46,2,7.6,5.37,"38.781,05",7.38,9.28,8.44,7.54,0.15,0.09,1.4,9.41,70,,0.28,105.9,465
2018,FRA,France,50,2,7.53,5.08,"41.557,85",7.15,9.36,8.50,7.58,-0.09,0.14,2.8,09.02,72,,0.03,84.8,457
2019,FRA,France,51,2,7.55,5.08,"40.494,90",7.15,9.41,8.56,7.56,0.16,0.12,2,8.41,69,,0.3,,470
2020,FRA,France,54,2,7.33,4.92,"39.055,28",7.19,9.15,8.21,7.20,-0.07,0.29,0.6,08.01,69,,0.32,,438
2000,HKG,Hong Kong SAR. China,2,1,8.81,8.93,"25.756,77",7.20,9.07,9.73,9.10,0.04,0.25,41.1,4.92,77,59.8,0.94,363.1,779
2001,HKG,Hong Kong SAR. China,1,1,8.83,8.90,"25.230,38",7.29,9.33,9.72,8.93,-0.33,0.25,18.5,05.09,79,47.1,0.94,298.1,857
2002,HKG,Hong Kong SAR. China,2,1,8.79,8.56,"24.665,84",7.30,9.56,9.62,8.91,-0.14,0.17,4.1,7.28,82,38.6,0.91,278.4,968
2003,HKG,Hong Kong SAR. China,1,1,8.83,8.48,"23.977,17",7.30,9.67,9.66,9.02,0.44,0.14,11.5,7.86,71,38.2,0.95,442.8,1027
2004,HKG,Hong Kong SAR. China,1,1,8.88,8.63,"24.928,10",7.56,9.80,9.36,9.05,0.03,0.16,13.1,6.74,71,46.9,1.14,509.4,1086
2005,HKG,Hong Kong SAR. China,1,1,9.01,8.88,"26.649,64",7.91,9.70,9.61,8.97,0.15,0.13,22.6,5.58,83,39.9,1.34,581,1126
2006,HKG,Hong Kong SAR. China,1,1,9.04,9.04,"28.224,09",7.98,9.48,9.59,9.12,0.28,0.10,23.2,4.77,83,44.1,1.19,886.1,1165
2007,HKG,Hong Kong SAR. China,1,1,9.03,9.01,"30.593,95",7.96,9.36,9.66,9.16,0.17,0.27,29.4,04.01,83,75.9,1.1,1245.5,1232
2008,HKG,Hong Kong SAR. China,1,1,9.07,9.09,"31.515,53",7.94,9.41,9.62,9.28,-0.43,0.32,30.6,3.56,81,118,1.13,606,1251
2009,HKG,Hong Kong SAR. China,1,1,9.1,9.05,"30.697,54",8.2,9.63,9.46,9.32,0.52,0.27,25.4,5.26,82,61.3,0.97,1076.9,1308
2010,HKG,Hong Kong SAR. China,1,1,9.1,8.97,"32.550,14",7.94,9.65,9.52,9.40,0.17,0.14,36.2,4.33,84,54.9,0.94,1185.9,1396
2011,HKG,Hong Kong SAR. China,1,1,9.06,9.00,"35.142,49",7.87,9.52,9.50,9.40,-0.13,0.25,38.7,3.42,84,63.6,0.95,908.6,1472
2012,HKG,Hong Kong SAR. China,1,1,9.01,8.93,"36.730,80",7.76,9.49,9.49,9.40,0.16,0.19,28.5,3.29,77,38,01.01,1078.3,1459
2013,HKG,Hong Kong SAR. China,1,1,8.93,8.78,"38.403,78",7.75,9.40,9.35,9.39,-0.07,0.14,27.9,3.4,75,40.9,0.92,1124.7,1553
2014,HKG,Hong Kong SAR. China,1,1,8.97,8.69,"40.315,37",7.82,9.39,9.55,9.41,0.11,0.14,44.6,3.3,74,44.9,1.15,1109.3,1661
2015,HKG,Hong Kong SAR. China,1,1,8.97,8.60,"42.432,16",7.95,9.55,9.34,9.39,-0.20,0.23,58.5,3.31,75,65,01.05,1029.4,1770
2016,HKG,Hong Kong SAR. China,1,1,8.97,8.52,"43.734,20",7.88,9.58,9.45,9.40,0.19,0.16,41.5,3.39,77,40.9,0.75,995.2,1872
2017,HKG,Hong Kong SAR. China,1,1,8.96,8.57,"46.160,43",7.88,9.63,9.46,9.28,0.41,0.10,36.8,3.12,77,43.4,0.83,1274.8,1987
2018,HKG,Hong Kong SAR. China,1,1,9.01,8.59,"48.537,57",7.87,9.66,9.49,9.43,-0.15,0.19,26.8,2.81,76,59.4,0.78,1055.8,2161
2019,HKG,Hong Kong SAR. China,1,1,8.87,8.39,"48.359,00",7.53,9.61,9.56,9.29,-0.06,0.19,16.1,2.92,76,37.2,-0.22,1349.4,2272
2020,HKG,Hong Kong SAR. China,1,1,8.59,8.24,"46.109,23",7.50,9.65,8.73,8.84,0.07,0.20,34,5.81,77,50.1,0.09,1777.2,2353
2000,ISR,Israel,61,2,6.76,5.25,"21.630,57",6.18,7.97,8.43,5.99,-0.09,0.31,5.9,11.1,66,43,-1.04,49.1,664
2001,ISR,Israel,54,2,6.92,5.20,"20.909,68",6.13,9.28,8.51,5.50,-0.02,0.28,1.3,11.81,76,26,-1.04,42.8,648
2002,ISR,Israel,40,2,7.23,5.75,"19.035,00",5.96,9.19,9.09,6.18,-0.27,0.19,1.3,12.89,73,27,-1.46,33.7,622
2003,ISR,Israel,41,2,7.31,6.03,"19.627,03",5.71,9.54,9.09,6.18,0.74,0.20,2.5,13.51,70,25.4,-1.52,53.4,573
2004,ISR,Israel,41,2,7.32,5.88,"20.557,16",5.75,9.62,8.95,6.41,0.19,0.13,2.1,13.03,64,33,-1.32,65.6,573
2005,ISR,Israel,44,2,7.38,6.20,"21.223,94",5.94,9.56,8.61,6.57,0.28,0.10,3.3,11.34,63,34.6,-1.25,83.3,579
2006,ISR,Israel,47,2,7.36,6.19,"22.494,60",5.86,9.57,8.54,6.65,0.13,0.14,9.1,10.71,59,39.1,-1.26,101.9,601
2007,ISR,Israel,48,2,7.4,6.33,"25.633,75",5.70,9.73,8.61,6.63,0.05,0.20,4.8,9.38,61,42.4,-1.25,127.7,643
2008,ISR,Israel,46,2,7.33,6.60,"30.173,18",5.50,9.57,8.50,6.47,-0.40,0.28,4.7,7.7,60,89.1,-1.32,48.8,630
2009,ISR,Israel,48,2,7.3,6.38,"28.316,79",5.63,9.52,8.60,6.38,0.79,0.13,2.2,9.53,61,42.1,-1.63,89,609
2010,ISR,Israel,40,2,7.51,6.46,"31.266,61",5.86,9.49,8.47,7.27,0.12,0.15,2.9,8.48,61,47.6,-1.34,95.5,596
2011,ISR,Israel,43,2,7.49,6.62,"34.354,72",5.92,9.46,8.18,7.27,-0.16,0.12,3.2,7.14,58,48.8,-1.2,58.8,576
2012,ISR,Israel,43,2,7.49,6.68,"33.156,23",5.78,9.64,8.13,7.24,0.03,0.12,3.4,6.86,60,31.4,-1.08,61.7,532
2013,ISR,Israel,43,2,7.51,6.59,"36.941,84",5.67,9.63,8.24,7.40,0.15,0.09,4,6.21,61,27.3,-1.1,68.3,491
2014,ISR,Israel,44,2,7.6,6.56,"38.259,68",5.70,9.62,8.56,7.56,0.06,0.07,1.9,5.89,60,23.6,-1.04,63.8,458
2015,ISR,Israel,43,2,7.61,6.50,"36.206,52",5.98,9.69,8.39,7.49,-0.02,0.15,3.7,5.25,61,23.1,-1.09,80.4,440
2016,ISR,Israel,41,1,7.64,6.53,"37.690,47",6.03,9.67,8.46,7.50,0.00,0.09,3.7,4.8,64,23.4,-0.79,66.4,427
2017,ISR,Israel,41,1,7.66,6.47,"41.114,78",6.16,9.74,8.49,7.43,0.13,0.06,4.7,4.22,62,29.9,-0.89,64.5,431
2018,ISR,Israel,43,2,7.64,6.43,"42.406,85",6.08,9.81,8.46,7.44,0.00,0.14,5.7,4,61,33.3,-0.91,49.8,420
2019,ISR,Israel,41,1,7.63,6.43,"44.452,23",6.08,9.76,8.43,7.42,0.16,0.08,4.3,3.8,60,28.8,-0.79,59,414
2020,ISR,Israel,49,2,7.35,6.26,"44.846,79",6.12,9.64,7.61,7.14,-0.01,0.24,5.6,4.33,60,39.9,-0.85,63.4,426
2000,JPN,Japan,14,1,8.06,6.43,"39.169,36",7.88,9.80,8.68,7.52,-0.29,0.22,0.2,4.75,64,78.6,1.2,63.5,2055
2001,JPN,Japan,17,1,7.86,6.40,"34.406,17",7.51,9.71,8.61,7.10,-0.28,0.19,0.1,05.02,71,75.2,1,51.8,2103
2002,JPN,Japan,15,1,7.88,6.07,"32.820,79",7.53,9.70,8.58,7.49,-0.17,0.19,0.3,5.39,71,83.7,1.18,49.5,2119
2003,JPN,Japan,12,1,8.05,6.44,"35.387,05",7.76,9.76,8.82,7.47,0.29,0.16,0.2,5.25,70,78.8,01.03,65.3,2174
2004,JPN,Japan,14,1,8.04,6.29,"38.298,98",7.57,9.74,8.73,7.85,0.06,0.12,0.2,4.73,69,97.2,01.03,72.7,2276
2005,JPN,Japan,12,1,8.05,6.38,"37.812,89",7.76,9.92,7.96,8.21,0.46,0.14,0.1,4.45,73,94.9,01.04,94.6,2323
2006,JPN,Japan,12,1,7.99,6.45,"35.991,54",7.80,9.90,7.59,8.23,0.04,0.13,-0.1,4.19,76,119.2,1.14,100.3,2391
