Year,Ownership of banks,Private sector credit,Interest rate controls/negative real interest rates),Credit market regulations,Hiring regulations and minimum wage,Hiring and firing regulations,Centralized collective bargaining,Hours Regulations,Mandated cost of worker dismissal,Conscription,Labor market regulations,Administrative requirements,Regulatory Burden,Starting a business,Impartial Public Administration,Licensing restrictions,Tax compliance,Business regulations,Regulation,Freedom to trade Internationally,Revenue from trade taxes (% of trade sector),Mean tariff rate,Standard deviation of tariff rates,Tariffs,Non-tariff trade barriers,Compliance costs of importing and exporting, Regulatory trade barriers,Black market exchange rates,Financial Openness,Capital controls,Freedom of foreigners to visit,Controls of the movement of capital and people,Money growth,Standard deviation of inflation, Inflation: Most recent year,Freedom to own foreign currency bank accounts,Sound Money, Judicial independence,Impartial courts,Protection of property rights,Military interference in rule of law and politics,Integrity of the legal system,Legal enforcement of contracts,Regulatory restrictions on the sale of real property,Reliability of police,Gender Legal Rights Adjustment,Legal System & Property Rights,Government consumption,Transfers and subsidies,Government investment,Top marginal income tax rate,Top marginal income and payroll tax rate,Top marginal tax rate,State ownership of assets,Size of Government,Return,Risk
2010,5.0,9.16,7.0,7.05,2.23,3.19,5.46,6.0,7.13,3.0,4.5,1.74,5.45,6.61,6.37,4.93,0.0,4.18,5.25,7.04,8.29,7.26,6.05,7.2,4.95,8.01,6.48,9.78,4.77,3.08,6.31,4.72,7.85,9.33,8.99,5.0,7.79,6.2,5.5,5.69,6.67,4.83,4.0,8.51,5.42,1.0,5.85,4.71,7.26,10.0,8.0,8.0,8.0,7.39,7.47,0.01793523134,0.1720676556
2011,5.0,8.74,6.0,6.58,2.23,3.84,5.36,6.0,7.13,3.0,4.59,1.7,5.45,6.62,6.37,4.93,0.0,4.18,5.12,6.96,8.17,7.26,6.05,7.16,4.86,8.01,6.43,9.73,4.16,3.08,6.31,4.52,8.08,9.38,8.67,5.0,7.78,6.23,5.53,6.11,6.67,4.83,4.12,8.5,5.75,1.0,5.97,4.8,7.21,10.0,8.0,8.0,8.0,7.39,7.48,-0.05261734885,0.1948314925
2012,5.0,8.96,7.0,6.99,2.23,3.67,5.23,6.0,7.13,3.0,4.54,1.66,4.44,6.62,6.37,4.94,0.0,4.0,5.18,6.94,8.23,7.3,6.06,7.19,4.85,8.01,6.43,9.61,4.16,3.08,6.31,4.52,8.24,9.53,8.92,5.0,7.92,6.37,5.33,6.0,6.67,4.81,4.0,8.58,5.55,1.0,5.91,4.93,6.32,10.0,8.0,8.0,8.0,7.39,7.33,-0.05249556063,0.1876470196
2013,5.0,7.78,8.0,6.93,2.23,2.86,4.95,6.0,7.13,3.0,4.36,1.5,4.44,7.28,6.37,5.0,0.0,4.1,5.13,6.9,8.19,7.3,6.06,7.18,4.97,7.98,6.47,9.45,4.16,3.08,6.31,4.52,8.47,9.52,8.76,5.0,7.94,6.21,5.17,4.99,6.67,4.78,4.0,8.58,4.85,1.0,5.65,4.84,6.69,10.0,8.0,4.0,6.0,7.39,6.99,-0.2028413179,0.1519951302
2014,5.0,6.15,8.0,6.38,2.23,3.16,5.39,6.0,7.13,3.0,4.49,1.16,4.44,7.3,6.37,5.0,0.0,4.05,4.97,6.75,8.25,7.3,6.06,7.2,4.76,4.92,4.84,9.81,4.16,3.08,8.19,5.14,8.46,9.58,8.73,5.0,7.94,6.09,5.04,4.86,6.67,4.75,4.0,8.38,4.85,1.0,5.58,4.76,6.35,10.0,8.0,4.0,6.0,7.39,6.9,-0.01534457062,0.2135106777
2015,5.0,3.7,7.0,5.23,2.23,1.54,5.15,6.0,7.13,3.0,4.18,1.14,4.67,7.4,6.37,5.0,0.0,4.1,4.5,6.61,8.37,7.3,6.11,7.26,4.46,5.83,5.14,10.0,1.66,2.31,8.19,4.05,8.49,9.61,8.19,5.0,7.82,6.26,4.92,5.22,6.67,4.75,3.75,8.39,4.04,1.0,5.5,4.82,5.79,10.0,8.0,4.0,6.0,7.39,6.8,-0.1386117507,0.1952341439
2016,5.0,3.62,5.0,4.54,2.23,1.34,5.2,6.0,7.13,3.0,4.15,1.12,5.11,7.4,6.23,5.0,0.0,4.14,4.28,6.73,8.61,7.3,6.11,7.34,4.0,7.02,5.51,10.0,1.66,2.31,8.19,4.05,8.38,9.53,8.25,10.0,9.04,6.24,4.84,5.52,6.67,4.45,3.46,8.35,4.3,1.0,5.48,4.71,5.37,9.2,8.0,4.0,6.0,8.18,6.69,0.6005296243,0.2641660818
2017,5.0,4.9,5.0,4.97,2.23,1.71,5.19,6.0,7.13,3.0,4.21,1.05,6.0,9.27,5.69,5.0,5.76,5.46,4.88,6.96,8.62,7.32,6.14,7.36,4.02,7.87,5.94,10.0,1.66,2.31,9.62,4.53,8.54,9.22,9.31,10.0,9.27,6.13,4.76,5.29,6.67,4.41,3.32,8.2,4.19,1.0,5.37,4.7,5.22,9.7,8.0,4.0,6.0,8.18,6.76,0.3129996444,0.1554981377
2018,5.0,4.9,6.0,5.3,2.23,2.93,5.48,6.0,7.13,3.0,4.46,1.14,6.22,9.42,4.85,5.4,0.0,4.51,4.76,6.96,8.62,7.32,6.14,7.36,4.04,7.87,5.95,10.0,1.66,2.31,9.62,4.53,8.81,8.99,9.27,10.0,9.27,5.73,4.74,4.89,6.7,4.06,3.33,8.24,3.85,1.0,5.19,4.86,5.16,10.0,8.0,3.0,5.5,8.18,6.74,0.1469857383,0.2241798072
2019,5.0,5.18,6.0,5.39,2.23,2.93,5.48,6.0,7.13,3.0,4.46,1.14,6.22,9.42,5.2,5.4,0.0,4.56,4.81,6.99,8.63,7.32,6.14,7.36,4.04,7.87,5.95,10.0,1.64,2.31,10.0,4.65,8.82,8.98,9.25,10.0,9.26,5.5,4.8,4.89,5.83,4.43,3.33,8.24,3.85,1.0,5.11,4.76,5.7,10.0,8.0,3.0,5.5,8.18,6.83,0.1680493665,0.1188839058
2020,5.0,1.09,7.0,4.36,2.23,2.93,5.48,6.0,7.13,3.0,4.46,1.14,6.22,9.42,5.2,5.4,0.0,4.56,4.46,6.17,8.73,7.34,6.12,7.4,4.04,7.87,5.95,10.0,1.64,2.31,0.0,1.32,8.47,9.16,9.36,10.0,9.25,5.29,4.68,4.89,5.83,5.18,3.33,8.24,3.85,1.0,5.16,4.52,5.35,10.0,8.0,2.0,5.0,8.18,6.61,0.01974314572,0.3928038011
